ds,yhat,yhat_lower,yhat_upper
2017-05-27,847.4201839693717,-4910.743168233965,6586.780283938684
2017-05-28,263.37903871479307,-5053.520973422309,5997.29730385713
2017-05-29,120.36590613629096,-5302.919316478798,5712.95518459736
2017-05-30,899.9867000807135,-4656.684558492843,6702.595111671602
2017-05-31,187.7048107156993,-5390.580298244213,5781.60009656955
2017-06-13,1159.3662601508981,-4472.98652035508,7183.028273871489
2017-06-15,1287.2411312263591,-4214.37347934754,6860.127522544944
2017-06-16,405.2470061305271,-5226.914973538486,6200.42250669961
2017-06-17,1225.782011847333,-4197.012005615843,6562.673767682165
2017-06-18,944.6139988949324,-4899.757587123467,6644.792253350073
2017-06-19,1081.9246335695377,-3876.5054409563236,6646.752036776853
2017-06-20,2112.6831071684874,-3771.7883644646026,7315.111193955319
2017-06-22,2092.4449202409837,-3061.2946833598185,7755.042373357134
2017-06-23,1105.9361382040533,-4418.151837538071,6549.784797792142
2017-06-24,1805.7408481702228,-3883.7521672146436,7458.156635086468
2017-06-25,1391.2707002923094,-4162.171991864965,7012.941615446479
2017-06-26,1386.6967263705048,-5008.23467821635,6945.924062520153
2017-06-27,2271.2152142759905,-3415.983639048262,7872.531702962519
2017-06-28,1628.8179536612827,-4106.2250537741065,7253.438812515236
2017-06-29,1962.8379211849874,-3401.1012902296816,7709.0964710744465
2017-06-30,843.0286688854409,-4560.628973566058,6594.468913529756
2017-07-14,252.8501511544564,-5399.613788956403,6002.428729648248
2017-07-15,1042.6858935464177,-4565.205064286175,6845.963148079752
2017-07-17,939.6626085462069,-4613.484618293094,6462.688958348366
2017-07-18,2043.514370862893,-3459.37214377629,7592.260005149194
2017-07-19,1654.933255707981,-3895.24698580753,7199.355507411626
2017-07-20,2271.1587932446278,-3421.3478487686584,7765.4396365624
2017-07-21,1454.9963923099879,-4254.828348940053,7285.913585060765
2017-07-22,2351.5720788873396,-3168.2393875222747,7620.48586127597
2017-07-23,2155.8687163038585,-3707.4257129682965,7724.464493197483
2017-07-24,2386.9187239055814,-2926.274463808711,8128.063670031315
2017-07-25,3518.197659492379,-2234.3904695910296,9154.654893273471
2017-07-27,3711.8302196112954,-1568.6564287155252,9244.84478107081
2017-07-28,2834.266083974944,-2640.563413009558,8519.0240682083
2017-07-29,3641.082419452878,-1997.527345633689,9251.79620623004
2017-07-30,3329.0680506836597,-2210.644751398858,8749.171412585409
2017-07-31,3419.7090662781866,-2158.636727618584,8722.65921143491
2017-08-14,1807.8587366271036,-3701.9830472582853,7451.723699064464
2017-08-15,2540.259331028291,-3412.1575479183502,7983.927138294137
